Claudia Alexander
Angelika Anders-von Ahlften
Almudena Arcones
Fay Ajzenberg-Selove
Gisela Anton
Elena Aprile
Engin Arık
Marion Asche
Hertha Ayrton
Milla Baldo Ceolin
Marcia Barbosa
Beatriz Barbuy
Laura Bassi
Katrin Becker
Melanie Becker
Silke Biermann
Marietta Blau
Katharine B. Blodgett
Elizabeth Monroe Boggs
Katharina Boll-Dornberger
Hélène Bouchiat
Marie-Anne Bouchiat
Catherine Bréchignac
Françoise Brochard-Wyart
Harriet Brooks
Dagmar Bruß
Silke Bühler-Paschen
Margaret Burbidge
Élisabeth Charlaix
Yvette Cauchois
Margaret Cavendish
Renate Chasman
Émilie du Châtelet
Yvonne Choquet-Bruhat
Mildred Cohn
Janet Conrad
Anne Conway
Esther M. Conwell
Erika Cremer
Leticia Cugliandolo
Marie Curie
Sally Dawson
Cornelia Denz
Cécile DeWitt-Morette
Bianca Dittrich
Athene Donald
Louise Dolan
Persis Drell
Mildred Dresselhaus
Barbara Drossel
Janette Dunlop
Helen Edwards
Tatjana Ehrenfest-Afanassjewa
Marie Farge
Sylvia Fedoruk
Francesca Ferlaino
Katharina Franke
Melissa Franklin
Rosalind Franklin
Ursula Franklin
Mary Gaillard
Ille Gebeshuber
Gillian Gehring
Élisabeth Giacobino
Fabiola Gianotti
Ellen Gleditsch
Maria Goeppert-Mayer
Gertrude Goldhaber
Sulamith Goldhaber
Anna Grassellino
Laura Greene
Sibylle Günter
Caren Hagner
Hilda Hänchen
Gail G. Hanson
Lene Hau
Isolde Hausser
Martina Havenith-Newen
Martina Hentschel
Lieselott Herforth
Grete Hermann
Joan Hinton
Regina Hitzenberger
Dorothy Hodgkin
Anne L’Huillier
Barbara Jacak
Cecilia Jarlskog
Deborah Jin
Irène Joliot-Curie
Shirley Ann Jackson
Renata Ernestowna Kallosch
Vassiliki Kalogera
Birgit Kanngießer
Berta Karlik
Bruria Kaufman
Ursula Keller
Olga Kocharovskaya
Hedwig Kohn
Corinna Kollath
Noemie Benczer Koller
Jutta Kunz
Minna Lang
Dominique Langevin
Gerda Laski
Ellen Lax
Michèle Leduc
Inge Lehmann
Hendrika Johanna van Leeuwen
Michal Lipson
Liu Na
Renate Loll
Kathleen Lonsdale
Martha Lux-Steiner
Cristina Marchetti
Margaret Eliza Maltby
Mileva Marić
Nergis Mavalvala
Marcia McNutt
Helen Megaw
Lise Meitner
Lucy Mensing
Catherine Meusburger
Karina Morgenstern
Margaret Murnane
Chiara Nappi
